question;intent;reponse
Où créer un compte ;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Comment créer un compte ?;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Comment faire créer un compte chez vous;creer_compte;"Pour avoir un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
comment puis-je fais créer un compte ;creer_compte;"Pour ouvrir un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
je en de cree un compte;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
je envie de créer un compte;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
on peux créer des comptes dans votre site;creer_compte;"Pour avoir un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
quelle est la prcedure pour avoir un compte;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
tu peux m'aider à créer mon compte ;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
c'est possible de créer un compte;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
comment faire pour créer un compte;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Comment créer un compte ?;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Je veux m’inscrire sur votre site;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Où créer un compte client ?;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Je ne suis pas encore inscrit, comment faire ?;creer_compte;"Pour avoir un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Procédure pour ouvrir un compte;creer_compte;"Pour ouvrir un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Créer un nouveau profil;creer_compte;"Voici la procédure : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Je souhaite devenir membre;creer_compte;"Voici comment procédure : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Je veux créer un profil client;creer_compte;"Voici comment procédure : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Je dois m’inscrire pour commander ?;creer_compte;"Voici la procédure : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Comment m’enregistrer ?;creer_compte;"Voici la procédure : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
je vais vouloir créer un compte chez vous;creer_compte;"Pour avoir un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
je vais savoir comment créer un compte;creer_compte;"Voici comment procédure : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
comment je peux faire créer un compte;creer_compte;"Pour créer un compte : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Je n'es pas de compte;creer_compte;"Voici comment procédure : <br> 1.	Cliquer sur l’icône de profil située en haut à droite de la page ou sur le bouton « Add to cart » (Ajouter au panier) lorsqu’ils survolent un produit <br> 2.	cliquer sur « Créer un compte ». <br> 3.	renseigner vos informations <br> 4.	cliquer sur « Suivant » <br> 5.	Saisir un nom d’utilisateur (username) <br> 6.	Choisir une image de profil en cliquant sur l’icône « + ». (Facultatif) <br> 7.	cliquer sur « Enregistrer »"
Est-ce que je peux payer en espèces ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Acceptez-vous les chèques ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Puis-je payer avec Apple Pay ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Est-ce que je peux payer en crypto ?;moyen_paiement;Nous proposons plusieurs moyens de paiement sécurisés : \n  ?? Cartes bancaires (Visa, MasterCard, American Express) \n ??? PayPal \n ?? Apple Pay / Google Pay (si applicable) \n?? Cartes cadeaux et codes promotionnels
Puis-je payer avec mobile money ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Je peux aussi payer avec M-PESA;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Vous acceptez aussi aussi mobile money;moyen_paiement;Nous proposons plusieurs moyens de paiement sécurisés : \n  ?? Cartes bancaires (Visa, MasterCard, American Express) \n ??? PayPal \n ?? Apple Pay / Google Pay (si applicable) \n?? Cartes cadeaux et codes promotionnels
Comment régler ma commande ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Accepter le paiement à crédit ;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
On peut payer au comptant ;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Comment payer ma commande ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Quels sont les modes de paiement disponibles ?;moyen_paiement;Nous proposons plusieurs moyens de paiement sécurisés : \n  ?? Cartes bancaires (Visa, MasterCard, American Express) \n ??? PayPal \n ?? Apple Pay / Google Pay (si applicable) \n?? Cartes cadeaux et codes promotionnels
Puis-je payer avec PayPal ?;moyen_paiement;Oui, PayPal est l’un des moyens de paiement proposés.
Acceptez-vous les cartes bancaires ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Puis-je utiliser Apple Pay ?;moyen_paiement;Nous proposons plusieurs moyens de paiement sécurisés : \n  ?? Cartes bancaires (Visa, MasterCard, American Express) \n ??? PayPal \n ?? Apple Pay / Google Pay (si applicable) \n?? Cartes cadeaux et codes promotionnels
Puis-je payer à la livraison ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Quels sont les moyens de paiement acceptés ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Comment puis-je payer ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Quels types de paiement acceptez-vous ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Est-ce que vous acceptez PayPal ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Quels sont les moyens de paiement disponibles ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Comment payer sur votre site ?;moyen_paiement;Nous proposons plusieurs moyens de paiement sécurisés : \n  ?? Cartes bancaires (Visa, MasterCard, American Express) \n ??? PayPal \n ?? Apple Pay / Google Pay (si applicable) \n?? Cartes cadeaux et codes promotionnels
Quelles cartes de crédit sont acceptées ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Est-ce que je peux payer avec mobile money ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Acceptez-vous le paiement par Orange Money ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Quels sont vos modes de règlement ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Est-ce que vous acceptez PayPal ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Comment fonctionne le paiement ?;moyen_paiement;Nous proposons plusieurs moyens de paiement sécurisés : \n  ?? Cartes bancaires (Visa, MasterCard, American Express) \n ??? PayPal \n ?? Apple Pay / Google Pay (si applicable) \n?? Cartes cadeaux et codes promotionnels
Puis-je utiliser ma carte bancaire ?;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Comment payer un produit;moyen_paiement;Nous acceptons les paiements par carte bancaire (Visa, Mastercard, American Express), PayPal, Apple Pay, Google Pay, et paiement en plusieurs fois avec Klarna.
Peut-on payer à crédit ?;moyen_paiement;Vous pouvez payer par carte bancaire, PayPal ou mobile money.
Est-ce que les payements sont securise dans votre plateforme;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
j'aimerai savoir je peux payer en toute securise;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
les paiement sont securise chez vous ?;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
Je peux vous faire confiance pour le paiements ;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
il ya une securité pour le paiement dans votre site ;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
Est-ce que c’est sûr de payer en ligne ?;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
Est-ce que le paiement est sécurisé ?;paiement_securise;Oui bien-sûr, tout vos paiements dans notre site sont sécurisés
Mon paiement est-il bien protégé ?;paiement_securise;Oui, toutes les transactions sont cryptées et sécurisées.
Le paiement est-il fiable ?;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
Y a-t-il un risque de piratage lors du paiement ?;paiement_securise;Soyez tranquille, toutes les transactions sont cryptées et sécurisées.
La transaction est-elle sécurisée ?;paiement_securise;Oui, toutes les transactions sont cryptées et sécurisées.
Comment garantissez-vous la sécurité du paiement ?;paiement_securise;Absolument, notre plateforme utilise un protocole de sécurité.
Mon argent est-il en sécurité sur votre site ?;paiement_securise;Oui, toutes les transactions sont cryptées et sécurisées.
Utilisez-vous un protocole SSL ?;paiement_securise;Oui, toutes les transactions sont cryptées et sécurisées.
Les paiements sont-ils cryptés ?;paiement_securise;Oui, toutes les transactions sont cryptées et sécurisées.
Quelqu'un m'expliquer c'est quoi ce Shoply ;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Je suis tombé ici par hasard c'est quoi ?;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Qu'est-ce que Shoply ?;parle_orga;Shoply est votre destination shopping en ligne pour une variété de produits  à prix abordables.\n Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.\n Notre mission est de vous offrir une expérience d'achat simple et sécurisée.
Vous faites quoi exactement ?;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
C'est quoi ce site ?;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
Qui est derrière Shoply ?;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
Je connais pas Shoply;parle_orga;Enchantés de vous rencontrer ! Shoply c'est [ex: une alternative maligne aux grandes marketplaces, avec un service personnalisé et des promotions quotidiennes]. Essayez-nous, vous ne serez pas déçu !
Quelqu'un m'expliquer c'est quoi ce site ;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Je suis tomber ici par hasard c'est quoi ?;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
Un ami m'a donné le lien de votre site mais je ne comprend pas;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
c'est quoi cette plateforme ???;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
j'aimerais que tu me parle de votre plateforme ;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
j'aimerais que tu me parle de vous ;parle_orga;Bienvenue sur Shoply ! Votre marketplace préférée pour acheter  vos divers  produits au meilleur prix.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc.
j'aimerais m'informer à propose de vous ;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
C'est quoi shoply ;parle_orga;Shoply est une boutique en ligne.\n Nous proposons une variété de produits. Vous cherchez quelque chose en particulier ? Par exemple : jeans, riz, pain, smartphones, etc. avec livraison rapide et un service client disponible 7j/7 ! Découvrez notre univers sur Shoply.
Expliques  votre entité;parle_orga;Enchantés de vous rencontrer ! Shoply c'est [ex: une alternative maligne aux grandes marketplaces, avec un service personnalisé et des promotions quotidiennes]. Essayez-nous, vous ne serez pas déçu !
expliques votre organisation;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
c'est l'importance de votre site ;parle_orga;Nous sommes Shoply, une plateforme de e-commerce dédiée à la vente de divers produits.
